,text,duck
69,"To avoid injury when digging into sediment it has no cere, but the nostrils come out through hard horn.",1
70,The Guardian published an article advising that ducks should not be fed with bread because it damages the health of the ducks and pollutes waterways.,1
71,A Muscovy duckling,1
72,"Ducks generally only have one partner at a time, although the partnership usually only lasts one year.",1
73,Larger species and the more sedentary species (like fast-river specialists) tend to have pair-bonds that last numerous years.,1
74,"Most duck species breed once a year, choosing to do so in favourable conditions (spring/summer or wet seasons). ",1
75,"Ducks also tend to make a nest before breeding, and, after hatching, lead their ducklings to water. ",1
76,"Mother ducks are very caring and protective of their young, but may abandon some of their ducklings if they are physically stuck in an area they cannot get out of (such as nesting in an enclosed courtyard) or are not prospering due to genetic defects or sickness brought about by hypothermia, starvation, or disease. ",1
77,Ducklings can also be orphaned by inconsistent late hatching where a few eggs hatch after the mother has abandoned the nest and led her ducklings to water.,1
78,"Female mallard ducks (as well as several other species in the genus Anas, such as the American and Pacific black ducks, spot-billed duck, northern pintail and common teal) make the classic ""quack"" sound while males make a similar but raspier sound that is sometimes written as ""breeeeze"". ",1
79,"Despite widespread misconceptions, most species of duck do not ""quack"".",1
80,"In general, ducks make a range of calls, including whistles, cooing, yodels and grunts. ",1
81,"For example, the scaup - which are diving ducks - make a noise like ""scaup"" (hence their name). ",1
82,Duck calls may be loud displaying calls or quieter contact calls.,1
83,"A common urban legend claims that duck quacks do not echo; however, this has been proven to be false. ",1
84,This duck echo myth was first debunked by the Acoustics Research Centre at the University of Salford in 2003 as part of the British Association's Festival of Science.,1
85,The duck echoing myth was also debunked in one of the earlier episodes of the popular Discovery Channel television show MythBusters.,1
86,Ducks have many predators. ,1
87,"Ducklings are particularly vulnerable, since their inability to fly makes them easy prey not only for predatory birds but also for large fish like pike, crocodilians, predatory testudines such as the alligator snapping turtle, and other aquatic hunters, including fish-eating birds such as herons. ",1
88,"Ducks' nests are raided by land-based predators, and brooding females may be caught unaware on the nest by mammals, such as foxes, or large birds, such as hawks or owls.",1
89,"Adult ducks are fast fliers, but may be caught on the water by large aquatic predators including big fish such as the North American muskie and the European pike. ",1
90,"In flight, ducks are safe from all but a few predators such as humans and the peregrine falcon, which uses its speed and strength to catch ducks.",1
91,Relationship with humans: Hunting,1
92,Humans have hunted ducks since prehistoric times. ,1
93,"Excavations of middens in California dating to 7800-6400 BP have turned up bones of ducks, including at least one now-extinct flightless species.",1
94,"Ducks were captured in ""significant numbers"" by Holocene inhabitants of the lower Ohio River valley, suggesting they took advantage of the seasonal bounty provided by migrating waterfowl.",1
95,"Neolithic hunters in locations as far apart as the Caribbean, Scandinavia, Egypt, Switzerland, and China relied on ducks as a source of protein for some or all of the year. ",1
96,"Archeological evidence shows that Māori people in New Zealand hunted the flightless Finsch's duck, possibly to extinction, though rat predation may also have contributed to its fate. ",1
97,"A similar end awaited the Chatham duck, a species with reduced flying capabilities which went extinct shortly after its island was colonised by Polynesian settlers.",1
98,"It is probable that duck eggs were gathered by Neolithic hunter-gathers as well, though hard evidence of this is uncommon.",1
99,"In many areas, wild ducks (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or by being trapped using duck decoys. ",1
100,"Because an idle floating duck or a duck squatting on land cannot react to fly or move quickly, ""a sitting duck"" has come to mean ""an easy target"". ",1
101,These ducks may be contaminated by pollutants such as PCBs.,1
102,"Indian Runner ducks, a common breed of domestic ducks",1
103,"Ducks have many economic uses, being farmed for their meat, eggs, and feathers (particularly their down). ",1
104,Approximately 3 billion ducks are slaughtered each year for meat worldwide.,1
105,They are also kept and bred by aviculturists and often displayed in zoos. ,1
106,"Almost all the varieties of domestic ducks are descended from the mallard (Anas platyrhynchos), apart from the Muscovy duck (Cairina moschata).",1
107,The Call duck is another example of a domestic duck breed. ,1
108,"Its name comes from its original use established by hunters, as a decoy to attract wild mallards from the sky, into traps set for them on the ground. ",1
109,"The call duck is the world's smallest domestic duck breed, as it weighs less than 1 kg (2.2 lb).",1
110,Three black-colored ducks in the coat of arms of Maaninka,1
111,"Ducks appear on several coats of arms, including the coat of arms of Lubāna (Latvia) and the coat of arms of Föglö (Åland).",1
112,"In 2002, psychologist Richard Wiseman and colleagues at the University of Hertfordshire, UK, finished a year-long LaughLab experiment, concluding that of all animals, ducks attract the most humor and silliness; he said, ""If you're going to tell a joke involving an animal, make it a duck.""",1
113,"The word ""duck"" may have become an inherently funny word in many languages, possibly because ducks are seen as silly in their looks or behavior. ",1
114,"Of the many ducks in fiction, many are cartoon characters, such as Walt Disney's Donald Duck, and Warner Bros.' ",1
115,Daffy Duck. ,1
116,Howard the Duck started as a comic book character in 1973 and was made into a movie in 1986.,1
117,"The 1992 Disney film The Mighty Ducks, starring Emilio Estevez, chose the duck as the mascot for the fictional youth hockey team who are protagonists of the movie, based on the duck being described as a fierce fighter. ",1
118,"This led to the duck becoming the nickname and mascot for the eventual National Hockey League professional team of the Anaheim Ducks, who were founded with the name the Mighty Ducks of Anaheim.",1
119,The duck is also the nickname of the University of Oregon sports teams as well as the Long Island Ducks minor league baseball team.,1
120,"Duck raising is practiced on a limited scale in most countries, usually as a small-farm enterprise, although large flocks are bred in some areas of England, the Netherlands, and the United States. ",1
121,"The American Poultry Association lists 17 domesticated breeds, divided into four classes: heavy, medium, lightweight, and bantam. ",1
122,"The White Pekin, originally from China, is the most widely raised duck in the United States, because it is meaty, fast growing, and prodigious in egg production. ",1
123,"Duck feathers are also of some value, though they have been largely replaced by synthetics. ",1
124,"Eiderdown, the down feathers of the common eider (Somateria mollissima), are still of wide commercial value for use in luxury quilts and pillows.",1
125,"waterfowl, in the United States, all varieties of ducks, geese, and swans; ",1
126,"the term is sometimes expanded to include some unrelated aquatic birds such as coots, grebes (see photograph), and loons. ",1
127,"In Britain the term refers only to domesticated swans, geese, and ducks kept for ornamental purposes, wildfowl being the term used for wild birds of this group, especially in the context of shooting for sport.",1
128,Ducks are fascinating creatures with a variety of interesting traits and behaviors.,1
129,"They are found in many parts of the world, except for Antarctica. ",1
130,"Ducks can be further classified into several subfamilies and genera, with over 100 species.",1
131,"Ducks often have waterproof feathers due to a special gland near their tails called the uropygial gland, which secretes an oily substance. ",1
132,"Males (drakes) often have more colorful plumage than females (hens), especially during the breeding season.",1
133,Ducks have webbed feet that make them excellent swimmers.,1
134,These feet are also useful for walking on muddy or soft terrain.,1
135,"Ducks are generally social birds and often live in flocks, especially outside the breeding season.",1
136,Some species form large flocks during migration or in wintering areas.,1
137,"Ducks face various threats, including habitat loss, pollution, hunting, and climate change.",1
138,Wetland drainage and pollution from agricultural runoff are significant issues for many duck species.,1
139,"In many cultures, ducks hold symbolic significance.",1
140,"For instance, in Chinese culture, mandarin ducks are symbols of marital happiness and fidelity.",1
141,"Ducks are an integral part of many ecosystems, serving roles as both predators and prey, and they are beloved by birdwatchers and conservationists alike.",1
142,"Small, fast-flying ducks often found in shallow waters.",1
143,Known for its colorful plumage and preference for wooded swamps,1
144,Recognized by its slender neck and pointed tail.,1
145,"In many duck species, males and females have distinctly different plumage, a phenomenon known as sexual dimorphism.",1
146,The domestic duck (Anas platyrhynchos domesticus) is descended from the wild Mallard.,1
147,What time do ducks wake up? At the quack of dawn!,1
148,What do you get if you cross a duck with a firework? A firequacker!,1
149,Ducks have a lot of features that make them irresistibly cute to many people,1
150,"Ducks have large, bright eyes relative to their head size, giving them an innocent and expressive look.",1
151,"Ducks often engage in playful behaviors, like splashing in water, waddling around, or chasing after each other.",1
152,Seeing a mother duck leading a line of ducklings is a classic image that melts hearts.,1
153,"These qualities, combined with their generally sociable nature and the associations we make with them (such as springtime, nature, and childhood memories), make ducks universally cute",1
0,"It is done, and submitted",0
1,"<?xml version=""1",0
2,Article contentHuman behavior has a tremendous impact on investing — more so than most realize — and one of our biggest weaknesses is the tendency to constantly compare and contrast ourselves to others,0
3,Topic: reinvent midnight madnessAmazon announced a new service at the AWS re:Invent Midnight Madness event,0
4,"About Grand Slam Fishing ChartersAs a family owned business we know how important it is that your trip becomes the best memory of your vacation, we are proud of our islands, our waters and our crew and we are desperate show you the best possible time during your stay",0
5,"Q:Why was Mundungus banned from the Hog's Head?In Order of the Phoenix while the trio were in the Hogs Head for the first time plotting the start of Dumbledore's Army, it transpires that ol' Dung was lurking in the pub in a disguise, having been banned 20 years previously according to Sirius",0
6,"Working Women, Special Provision and the Debate on EqualityThere has been considerable coverage in the media recently about the possibility of offering women in employment paid leave from work during their menstrual period",0
7,Q:Using M-Test to show you can differentiate term by term,0
8,"Jeanette Sawyer Cohen, PhD, clinical assistant professor of psychology in pediatrics at Weill Cornell Medical College in New York CityPediatric PsychologistHow to Teach Independence?How can I teach my toddler to do things independently?You’ve probably become more patient since you started this whole parentho",0
9,Q:What's the simplest way to pass a file as an argument in a simple shell script?The following works fine on Mac OS X:#!/bin/bashR CMD Sweave myfile,0
10,"Major League Baseball All-Century TeamIn 1999, the Major League Baseball All-Century Team was chosen by popular vote of fans",0
11,"{  ""fpsLimit"": 60,  ""preset"": ""basic"",  ""background"": {    ""color"": ""#0d47a1"",    ""image"": """",    ""position"": ""50% 50%"",    ""repeat"": ""no-repeat"",    ""size"": ""cover""  }}",0
12,PCI Alternative Using Sustained Exercise (PAUSE): Rationale and trial design,0
13,"Q:¿Porqué en este loop de JavaScript la impresión de la variable es desde counter y no desde counter-1?en mi búsqueda por aprender programación por mis propios medios, me he topado con el tema de recursividad y este simple código",0
14,"RunningStatDinner with people is always better than eating alone, especially when the food is good",0
15,Monday's are never fun,0
16,TiO2 nanotubes for bone regeneration,0
17,Benjamin Lok describes how the robot butt sensors work 2:26Prostate exams are potentially-life saving,0
18,"In general, absorbent articles should comfortably fit the body of a wearer",0
19,"jOOQ on The ORM Foundation?I am the developer of jOOQ, a Java database abstraction framework",0
20,Standardised protocol for primate faecal analysis,0
21,"Examination of factors affecting gait properties in healthy older adults: focusing on knee extension strength, visual acuity, and knee joint pain",0
22,"I've learned the nitrogen vacancies used in Memristors are for ""switching"", between excited states and inhibited states, akin to our neurons and SYNAPSES abilities to generate EPSPs and IPSPs, this is the entire point to Memristors and DARPAs SyNAPSE program, emulating Neurons",0
23,"Volunteer ServicesVolunteer ServicesAs Charleston Area Medical Center volunteers, our mission is to serve as support for patients, families and hospital staff, and to provide a caring, comforting and courteous environment",0
24,Q:Python: My return variable is always NoneSo I found a strange thing that happens in python whenever I try to return an optional parameter or at least I think that is why it is happening,0
25,Formulation and application of a biosurfactant from Bacillus methylotrophicus as collector in the flotation of oily water in industrial environment,0
26,Playing back a meeting recording…Let me show you how to locate and play back a meeting that you have recorded,0
27,A&E’s hit reality TV show was ensnared in controversy after its star’s controversial comments about gays and African-AmericansA record-setting reality show appears to be paddling in the wrong direction as its fifth season gets underway,0
28,"During my pregnancy, I tried to gather as much information on how painful labor might actually be",0
29,"But something is happening here and you don’t know what it isDo you, Mr, Jones? (Bob Dylan, 1965)Rulers seldom know what’s happening, do they? They have the intelligence apparatus and their party politicos feeding them whatever the powerful like to hear, but the assessment of the people can be in delicious disco",0
30,Computer assisted learning: the potential for teaching and assessing in nursing,0
31,Inorganic phosphate uptake in intact vacuoles isolated from suspension-cultured cells of Catharanthus roseus (L,0
32,Sen,0
33,Q:TextView Not centered in app but centered in match_constraintI've created a simple activity design using ConstraintLayout,0
34,"Following the airport shooting, Steube doubled down on his view that license holders ought to bring guns into venues like airports, claiming that gun-free zones are more likely to be targeted by shooters",0
35,"Adventure Time, Mission Impossible, The A-Team, Harry Potter and the new Ghostbusters are about to land on LEGO Dimensions",0
36,"2017 XIXO Ladies Open Hódmezővásárhely – DoublesLaura Pigossi and Nadia Podoroska were the defending champions, but both players chose not to participate",0
37,"Q:Python Segmentation Fault?First off, I didnt even know a memory error / segfault was possible in python",0
38,NEW YORK (CBSNewYork) — A fight between two roommates inside a homeless shelter in Harlem turned deadly Friday morning,0
39,"Q:HP MSA70 / P800 Array Failure - Shows 2 drives in each slot, 13/25 drives ""missing""We have an HP MSA70 with 25 x 600GB HP SAS 10k DP drives, connected to an HP P800 controller",0
40,"POV: Henry vs Martin + a pollI won’t make claims as to their gifts and charms, but H & M do resemble me in various ways :)I usually like to write stories from a single point of view",0
41,"Over every mountain there is a path, although it may not be seen from the valleyI'm now taking commissions, if you're interested in some high quality terrain PM me",0
42,"The terrifying 38-minute ordeal suffered by Hawaii residents on Saturday, when the state’s emergency-management agency sent out a false alert warning of an imminent ballistic-missile strike amid rising tensions with North Korea, seems to have sparked an unusually rapid response on Capitol Hill",0
43,"HONG KONG — July 4th may be a holiday for Americans, but in China it is the eve of nationwide release of “Man Of Tai Chi,” the feature directing debut of Keanu Reeves",0
44,South Africa’s top financial institutions have recommend in a new report that whistle-blowing be rewarded in an environment of growing corruption and mismanagement,0
45,This application is based upon and claims the benefit of priority from the prior Japanese Patent Application No,0
46,"The Indian supermarket will add 4,000 square feet to its current space",0
47,Dorsomedial hypothalamic lesions alter intake of an imbalanced amino acid diet in rats,0
48,"Tag: Eloy CasadosOriginal US release date: December 5, 2008 Production budget: $25,000,000 Worldwide gross: $27,426,335 There are timely films and then there are films that are before their time",0
49,"The present invention relates generally to improved means and methods for processing documents using electronic imaging, and more particularly, to the use of electronic imaging for processing financial documents, such as checks and related documents in a banking environment",0
50,"At our best, we motivate ourselves every day to get dressed and go to work or school",0
51,The summaries of the Colorado Court of Appeals published opinions  constitute no part of the opinion of the division but have been prepared by  the division for the convenience of the reader,0
52,Q:sql queries and insertsI have a random question,0
53,"Slapp straff, men mister lappenUngdommene som ble tatt i hasjaksjonene i Fana la alle kortene på bordet",0
54,"Introduction {#sec1-1}============Infliximab (IFX), a chimeric anti-TNFα antibody, is effective in inducing and maintaining remission in a considerable proportion of IBD patients refractory to any other treatments \[[@ref1],[@ref2]\]",0
55,---------------------- Forwarded by Benjamin Rogers/HOU/ECT on 10/19/2000 03:13 PM ---------------------------Dplflan@aol,0
56,The two classes `KinesisRecorder` and `KinesisFirehoseRecorder` allow you to interface with Amazon Kinesis Data Streams and Amazon Kinesis Data Firehose to stream analytics data for real-time processing,0
57,"Q:Como passar objetos entre controllers no MVC utilizando POOBasicamente, eu preciso que ser o login for bem sucedido salvar o nome de usuário em uma variável e utilizar-lá em outro controller",0
58,Retrieval of blade implants with piezosurgery: two clinical cases,0
59,Writing my last blog post really got me thinking about that guy and all the crazy things we done,0
60,Sun aims powerful flares at EarthTop: Two large sunspot groups are visible in this image of the sun obtained by the Solar and Heliospheric Observatory (SOHO),0
61,"Q:StAX and arraylist javaI'm trying to read an xml document with StAX but I have a little problem and i don't know how to fix it, I've tried to look for over internet (maybe i'm using the wrong key word for my problem :/)so I've this XML:<questionReponsesxmlns:xsi='http://www",0
62,"For the Democratic Party, a pliant and friendly news media is both a blessing and a curse",0
63,Facebook has hired the Patriot Act's co-author as a general counsel - Jerry2https://boingboing,0
64,"Da den fynske optiker Finn Juncker tog til Senegal for at være med til at uddele brugte briller til befolkningen, var han opfyldt af idealisme og entusiasme",0
65,1,0
66,"Q:Can a existing mapreduce program be made to run from a specified offset of input fileIs there any way to run an existing mapreduce program so that it processes only from a given offset of the input file?Eg:If given offset is 500, the mapreduce program should start processing input file from 500th byte",0
67,Allele-specific wild-type blocker quantitative PCR for highly sensitive detection of rare JAK2 p,0
68,"////// Copyright (c) 2016 Dropbox, Inc",0
69,IntroductionMark J,0
70,477 F,0
71,Primary care for women,0
72,"When Rudy Gay left the game with a left knee injury late in the first quarter, memories of the Sacramento Kings’ (16-22) recent poor play minus a star resurfaced",0
73,Three-dimensional structures of H-ras p21 mutants: molecular basis for their inability to function as signal switch molecules,0
74,Autosomal dominant polycystic kidney disease (ADPKD) is a common monoallelic disorder associated with progressive cyst development and resulting in end stage renal failure (ESRD) in 50% of patients by 60y,0
75,"Q:A japanese saying ""一をいうと十返ってくる""I'm currently trying to read a japanese novel and I found this expression : 一をいうと十返ってくるIt was meant to qualify a character, but I just don't get it",0
76,"Michele OrecchiaMichele Orecchia (26 December 1903 – 11 December 1981) was an Italian professional road bicycle racer, who won one stage in the 1932 Tour de France",0
77,A VISUALLY STUNNING architectural biography of Minnesota’s most influential architect of the twentieth century,0
78,"Q:Doctrine2 entity default value for ManyToOne relation propertyI've got a Doctrine2 Entity called ""Order"", which has several status properties",0
79,"Q:React typescript ref return null in conditional renderingI want to use React refs, it works fine in static rendering, e",0
80,Q:Not populating tableview with structure arrayI need to populate my tableView with an array of a structure,0
81,"The Harper government is looking for security experts to help harden federal buildings in the Ottawa area against threats, including possible terror-related attacks",0
82,It was a Pink Burn-out YO!PS - anyone else see the creator pot-hole on lane 2 there,0
83,Q:How to Compile and Debug C++ in Notepad++ using Turbo C++ CompilerI have installed NppExecute plugin in notepad++,0
84,"All Studio PostsThe upcoming AES 54th International Conferencem focusing on audio forensics, is set to take place June 12-14, 2014, at the Holiday Inn Bloomsbury in London",0
85,"From the mid-1960's until the close of that decade, automobiles became lighter, more compact, and more powerful",0
86,﻿/***********************************************************************!!!!!! DO NOT MODIFY !!!!!!GacGen,0
87,"Purdy was chatting to her bezzie mate who works at Colchester Hospital last night, and was impressed to hear that the Hospital wants more people to car share! Her mate, inspired by all the money she knows Purdy is saving, [",0
88,"INTRODUCTION {#s1}============Hepatitis B virus (HBV) is still a major global health problem, with an estimated 257 million people worldwide that are chronically infected with HBV ([@B1])",0
89,abcdef   abc def hijklm nop qrsabcdef   abc def hijtuv wxy z,0
90,Q:bootstrap,0
91,"Q:Where to get flight dynamics for a flight sim model?Once, a while ago, I tried to create a Flight Simulator X model for an aircraft that I wanted a model of, but was soon overwhelmed by having to guess so much of the flight dynamics",0
92,Dietary sodium chloride intake independently predicts the degree of hyperchloremic metabolic acidosis in healthy humans consuming a net acid-producing diet,0
93,Stefan PriebeStefan Priebe  is a psychologist and psychiatrist of German and British nationality,0
94,"MANILA (Reuters) - Philippine security forces on Saturday killed a foreign national and his female companion who were suspected of being connected to a militant group supporting Islamic State, police officials said, two days after the group’s leader was also killed",0
95,1,0
96,Sen,0
97,Q:Is it ok to ask questions on Stack Overflow to improve my coding skills?I have some questions I want to ask to other (experienced) programmers on Stack Overflow,0
98,"cask ""font-cormorant-sc"" do  version :latest  sha256 :no_check  # github",0
99,"Molly HendersonMolly Henderson (born September 14, 1953) is a former Commissioner of Lancaster County, Pennsylvania",0
100,"I got a wake up call, I got to make this workCause if we don´t we´re left with nothing and that´s what hurtsWe´re so close to giving up but something keeps us hereI can´t see what´s yet to comeBut I have imagined life without you and it feels wrongI want to know where love begins, not where it endsCause we don´t",0
101,Great Britain# Contents## Plan Your Trip### Welcome to Great Britain### Great Britain's Top 26### Need to Know### First Time Great Britain### What's New### If You Like,0
102,"USAThe EU is a political system with a unique structure and functioning, incomparable to anything which has existed before, far away from any classical, either national or international model",0
103,"Chronic energy deficiency and its association with dietary factors in adults of drought affected desert areas of Western Rajasthan, India",0
104,"CIBC Poll: Nearly half of all Canadians with debt not making progress in paying it downMany say they simply don't have the money, but may be missingopportunities to get advice about how to reduce their debtTORONTO, June 5, 2013 /CNW/ - A new CIBC(TSX: CM) (NYSE: CM) Poll conducted by Harris/Decima reveals that",0
105,"@comment $NetBSD: PLIST,v 1",0
106,"Ask HN: How to approach two competing job offers - is bidding war an option? - mbordI studied Computer Science, and I recently graduated as a bachelor",0
107,"Vasa, MinnesotaVasa is an unincorporated community in Vasa Township, Goodhue County, Minnesota, United States",0
108,--- sandbox/linux/BUILD,0
109,"Q:Is the sum of separating vectors always separating?If $\mathcal{R}$ is a von Neumann algebra acting on Hilbert space $H$ and $v, w \in H$ are separating vectors for $\mathcal{R}$, must $v+w$ be (either zero or) separating for $\mathcal{R}$?[I have edited to remove the restriction to type III factors and am mo",0
110,OS 10,0
111,N,0
112,Q:CMake link directory passing when compiling shared librarySay I have C project with the following structure (simplified):|- CMakeLists,0
113,Q:What are the challenges for recognising the handwritten characters?This 2014 article saying that a Chinese team of physicists have trained a quantum computer to recognise handwritten characters,0
114,"The bantamweight champion of DEEP, Takafumi Otsuka, will take on Koichi Ishiuzka on May 13th at Differ Ariake in Tokyo",0
115,This article is from the archive of our partner,0
116,--recursive--require @babel/register,0
117,"AATürkiye, Cumhurbaşkanlığı sisteminin kabul edildiği 16 Nisan referandumu sonrası ilk defa sandık başına gitti",0
118,AccountingSurf Works offer a range of accounting services suitable for all types of business,0
119,Molecular-dynamics simulations of electron-ion temperature relaxation in a classical Coulomb plasma,0
120,"How Idris Elba's 'Luther' Puts Us in the Mindset of a Renegade Detective""Luther"" is a series about righteous indignation",0
121,ARMED SERVICES BOARD OF CONTRACT APPEALSAppeal of --))_ ) ASBCA N°' 60315))Under Contract No,0
122,"<HTML><HEAD><TITLE>Invalid URL</TITLE></HEAD><BODY><H1>Invalid URL</H1>The requested URL ""&#91;no&#32;URL&#93;"", is invalid",0
123,"JTA: The Candidates’ Stances on IsraelReport by JTA: “Ahead of the Iowa caucus: A Jewish guide to the presidential candidates”On Monday, Iowans will gather to launch the 2016 presidential election with an arcane ritual — the caucus",0
124,The date is fast approaching for our spring rally,0
125,"New York (CNN Business) On Sunday, Ford will announce what is possibly the biggest change ever in the 55-year history of the Mustang",0
126,Q:Class AB amplifierWhat role does Rv play in this AB class amplifier?A:This is a class B amplifier: -Your circuit is a class AB amplifier: -Rv adjusts the bias point of the two transistors so that T1 and T2 are always conducting a little bit of current - this avoids excessive cross over distortion: -S,0
127,"Koolstra K, Beenakker J‐WM, Koken P, Webb A, Börnert P",0
128,"Story highlights Toys ""R"" Us Canada is searching for a new chief play officerAlex Thorne, 13, is stepping down(CNN) Retirement isn't usually part of a growing child's life, but Alex Thorne's life is far from ordinary",0
129,var config = {    type: Phaser,0
